사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202303,우이신설선,정릉,6,1985,6147,15587,17855,14287,10492,9241,9803,9293,8201,8152,8474,9045,9143,4955,3343,2750,2389,1140,366,0,0,0
202303,우이신설선,화계,5,2001,4574,15129,15350,9692,6996,6983,7925,7208,5772,5650,5798,4808,4423,3464,2051,1476,1058,499,151,0,0,0
202302,1호선,동대문,741,10093,8192,11705,16480,15906,15016,15969,19892,22668,24624,25581,26348,24815,22741,15862,13247,12279,9595,4302,462,1,0,0
202302,1호선,동묘앞,191,2555,3137,6186,9822,7785,8867,13324,19205,24732,31613,35052,34913,29162,19730,8458,5209,4405,3519,1360,82,0,0,0
202302,1호선,서울역,543,7202,11072,35896,66013,57146,57504,74479,81531,79480,67535,90100,105815,156895,206509,107347,76674,78852,52229,23492,2267,1,0,0
202302,1호선,시청,112,2179,3307,6670,8493,10256,12755,18481,20123,24815,32522,42777,52961,86342,157030,60313,49946,45664,28972,9628,296,1,0,0
202302,1호선,신설동,341,7756,8344,18320,27767,17659,15722,17727,19744,21890,22220,23649,27478,36280,49836,19916,13630,11758,8435,3587,345,1,0,0
202302,1호선,제기동,335,4641,7473,19496,29732,21038,21602,28502,35603,39022,43819,49695,48587,42677,38786,19448,12498,8892,5661,2190,148,0,0,0
202302,1호선,종각,82,3078,3733,5417,8981,10967,15736,24374,30699,40587,49979,64651,77911,139537,216150,95000,81194,86633,66982,29476,1071,0,0,0
202302,1호선,종로3가,157,3400,3093,4240,7661,12188,17657,27920,39951,48629,57853,68420,75320,84298,98589,59391,46259,49725,37749,15940,1266,0,0,0
202302,1호선,종로5가,34,1607,2527,4916,8439,11408,18451,29264,39321,48372,57802,62432,64874,83643,98506,51630,35878,32542,20199,6515,285,0,0,0
202302,1호선,청량리(서울시립대입구),804,9820,13083,33306,42662,26781,25478,30202,35736,38976,41333,46238,53484,47458,39925,21353,16385,12826,7938,3048,218,0,0,0
202302,2호선,강남,202,9155,17058,35821,59164,50214,50283,68578,83958,101006,111987,138053,162058,236104,306974,207605,162708,189032,176734,85156,14660,5,0,0
202302,2호선,강변(동서울터미널),21,7696,23866,70316,112239,82142,64834,58080,54572,50373,46887,47253,49064,52604,57460,40132,32055,25494,16448,6971,1003,1,0,0
202302,2호선,건대입구,232,14737,19523,46839,86193,58638,35170,34963,41130,44981,46676,51093,59672,70340,84655,63166,65016,74547,78454,49478,8072,6,0,0
202302,2호선,교대(법원.검찰청),20,2387,10296,22148,34804,28673,25864,31524,35426,43586,52244,56680,59415,95470,134800,67353,53085,56306,45153,17614,3245,1,0,0
202302,2호선,구로디지털단지,246,32814,47827,128641,178810,109284,63897,58568,64474,64111,59439,63117,75176,127683,210730,101556,63919,56135,42995,20359,3327,1,0,0
202302,2호선,구의(광진구청),45,11805,23268,60767,109768,66744,34533,30368,31400,30379,27754,28551,36982,35856,42786,22431,17409,16248,14899,8141,1296,3,0,0
202302,2호선,낙성대(강감찬),36,10131,22952,74366,122371,79271,42657,36465,38807,38288,33648,32611,36767,42476,47691,26472,20943,19396,15633,8105,1364,2,0,0
202302,2호선,당산,15,5684,14376,39954,52297,31810,22254,22440,23413,22608,21533,22244,25929,40447,58799,25353,19326,19315,16941,8353,1407,2,0,0
202302,2호선,대림(구로구청),548,29583,27226,59197,87616,58173,34893,33392,34000,32835,31547,32370,35596,42198,50893,25754,18951,14493,10802,5174,854,1,0,0
202302,2호선,도림천,0,301,1053,3112,3650,1970,1992,1552,2336,1573,1876,2052,2517,2730,3406,1734,852,740,454,172,32,1,0,0
202302,2호선,동대문역사문화공원(DDP),221,4686,3772,6293,12380,11054,12271,14309,16344,18729,22150,26177,29871,38096,43106,25684,19676,21045,15885,8292,1588,3,0,0
202302,2호선,뚝섬,8,2667,6911,15923,23200,16220,13591,15476,18996,23282,27413,33337,42249,67293,127824,61728,40990,38342,26175,10535,1526,3,0,0
202302,2호선,문래,6,3725,12215,40271,46615,25861,18635,19036,22640,24113,24119,27570,33366,56892,104949,38879,26425,28283,22156,10823,1799,4,0,0
